reviews.text,reviews.rating
This product is decent. It works for now.,3
This product is it's okay and decent. It works for now.,3
This product is decent and standard quality. It works for now.,3
I very satisfied and highly recommend. It's exactly what I was looking for.,5
I'm disappointed with and customer service is terrible. I would not buy this again.,1
This product is average product and it's okay. It works for now.,3
This product is average product. It works for now.,3
I'm terrible product. I would not buy this again.,1
I best purchase. It's exactly what I was looking for.,5
I'm not as described and stopped working. I would not buy this again.,1
I'm broke easily. I would not buy this again.,1
I highly recommend and fantastic product. It's exactly what I was looking for.,5
I very happy with. It's exactly what I was looking for.,5
This product is it's okay and middle of the road. It works for now.,3
I'm not as described. I would not buy this again.,1
I fantastic product. It's exactly what I was looking for.,5
This product is not bad. It works for now.,3
I best purchase and very satisfied and great customer service. It's exactly what I was looking for.,5
I'm disappointed with and broke easily. I would not buy this again.,1
I'm broke easily and defective. I would not buy this again.,1
I very happy with and best purchase. It's exactly what I was looking for.,5
I exceeded expectations. It's exactly what I was looking for.,5
I love this product. It's exactly what I was looking for.,5
I'm broke easily and disappointed with. I would not buy this again.,1
This product is nothing special and average product. It works for now.,3
I'm broke easily and disappointed with. I would not buy this again.,1
I'm poor quality and waste of money. I would not buy this again.,1
This product is not bad and average product. It works for now.,3
I best purchase and exceeded expectations and worth every penny. It's exactly what I was looking for.,5
This product is it's okay. It works for now.,3
This product is neither good nor bad. It works for now.,3
This product is acceptable and not bad. It works for now.,3
I fantastic product and excellent quality. It's exactly what I was looking for.,5
I'm disappointed with. I would not buy this again.,1
I great customer service and very happy with and amazing value. It's exactly what I was looking for.,5
I very happy with and great customer service and worth every penny. It's exactly what I was looking for.,5
I'm poor quality. I would not buy this again.,1
I perfect fit and easy to use. It's exactly what I was looking for.,5
I fantastic product. It's exactly what I was looking for.,5
This product is reasonable. It works for now.,3
I excellent quality. It's exactly what I was looking for.,5
I very happy with and perfect fit. It's exactly what I was looking for.,5
I excellent quality and very happy with and highly recommend. It's exactly what I was looking for.,5
I worth every penny. It's exactly what I was looking for.,5
This product is fairly good and ordinary product. It works for now.,3
This product is middle of the road and acceptable. It works for now.,3
I'm very frustrated. I would not buy this again.,1
I worth every penny. It's exactly what I was looking for.,5
I'm poor quality. I would not buy this again.,1
This product is decent and satisfactory. It works for now.,3
This product is nothing special. It works for now.,3
I'm not as described. I would not buy this again.,1
I well designed and very satisfied and works great. It's exactly what I was looking for.,5
I'm very frustrated. I would not buy this again.,1
I highly recommend and worth every penny. It's exactly what I was looking for.,5
I'm defective and doesn't work. I would not buy this again.,1
This product is it's okay. It works for now.,3
I excellent quality and very happy with. It's exactly what I was looking for.,5
I'm very frustrated and terrible product. I would not buy this again.,1
This product is neither good nor bad. It works for now.,3
I highly recommend. It's exactly what I was looking for.,5
I love this product and highly recommend. It's exactly what I was looking for.,5
I highly recommend. It's exactly what I was looking for.,5
I well designed. It's exactly what I was looking for.,5
I easy to use and amazing value and great customer service. It's exactly what I was looking for.,5
This product is decent. It works for now.,3
This product is decent. It works for now.,3
This product is as expected and ordinary product. It works for now.,3
This product is reasonable and average product. It works for now.,3
I works great and best purchase. It's exactly what I was looking for.,5
This product is nothing special and satisfactory. It works for now.,3
I'm disappointed with and doesn't work. I would not buy this again.,1
I'm waste of money and cheaply made. I would not buy this again.,1
This product is decent. It works for now.,3
I love this product and worth every penny and best purchase. It's exactly what I was looking for.,5
I well designed. It's exactly what I was looking for.,5
I'm regret buying. I would not buy this again.,1
I'm not worth the price. I would not buy this again.,1
I'm terrible product. I would not buy this again.,1
I'm poor quality. I would not buy this again.,1
This product is fairly good. It works for now.,3
This product is middle of the road and acceptable. It works for now.,3
I best purchase. It's exactly what I was looking for.,5
This product is does the job and nothing special. It works for now.,3
I'm stopped working and customer service is terrible. I would not buy this again.,1
I amazing value and excellent quality. It's exactly what I was looking for.,5
I'm regret buying. I would not buy this again.,1
This product is neither good nor bad and it's okay. It works for now.,3
I'm not worth the price. I would not buy this again.,1
I'm poor quality and not worth the price. I would not buy this again.,1
I excellent quality and great customer service. It's exactly what I was looking for.,5
This product is ordinary product. It works for now.,3
I'm very frustrated and not as described. I would not buy this again.,1
This product is as expected and decent. It works for now.,3
This product is decent and acceptable. It works for now.,3
